Tahun,Bulan,Kode Item,total_jumlah,total_harga,jumlah_transaksi,bulan_str,periode,quarter,is_start_year,is_end_year,lag_1,lag_2,lag_3,ma_3,ma_6,diff_1,ratio_lag,Nama Item,Jenis,Satuan
2022,2,KI001,23924,313557750,301,02,2022-02-01,1,0,0,28665.0,31883.0,30055.0,28157.333333333332,25901.0,-4741.0,0.8345775483150771,Yasmin 220ml,AMDK,KARTON
2022,3,KI001,25638,335190700,305,03,2022-03-01,1,0,0,23924.0,28665.0,31883.0,26075.666666666668,28465.666666666668,1714.0,1.0715987460815046,Yasmin 220ml,AMDK,KARTON
2022,4,KI001,22984,301635250,237,04,2022-04-01,2,0,0,25638.0,23924.0,28665.0,24182.0,27191.5,-2654.0,0.8964468192987246,Yasmin 220ml,AMDK,KARTON
2022,5,KI001,22500,295372100,263,05,2022-05-01,2,0,0,22984.0,25638.0,23924.0,23707.333333333332,25932.333333333332,-484.0,0.9788992821405265,Yasmin 220ml,AMDK,KARTON
2022,6,KI001,24888,325752200,305,06,2022-06-01,2,0,0,22500.0,22984.0,25638.0,23457.333333333332,24766.5,2388.0,1.1060841740367096,Yasmin 220ml,AMDK,KARTON
2022,7,KI001,23296,306097000,294,07,2022-07-01,3,0,0,24888.0,22500.0,22984.0,23561.333333333332,23871.666666666668,-1592.0,0.9359958214472257,Yasmin 220ml,AMDK,KARTON
2022,8,KI001,23647,310262450,346,08,2022-08-01,3,0,0,23296.0,24888.0,22500.0,23943.666666666668,23825.5,351.0,1.0150233935699875,Yasmin 220ml,AMDK,KARTON
2022,9,KI001,19070,250789700,293,09,2022-09-01,3,0,0,23647.0,23296.0,24888.0,22004.333333333332,22730.833333333332,-4577.0,0.8064106901217862,Yasmin 220ml,AMDK,KARTON
2022,10,KI001,16540,218219700,277,10,2022-10-01,4,0,0,19070.0,23647.0,23296.0,19752.333333333332,21656.833333333332,-2530.0,0.8672854071627077,Yasmin 220ml,AMDK,KARTON
2022,11,KI001,19204,252674550,263,11,2022-11-01,4,0,0,16540.0,19070.0,23647.0,18271.333333333332,21107.5,2664.0,1.1609938939604618,Yasmin 220ml,AMDK,KARTON
2022,12,KI001,17918,235971150,298,12,2022-12-01,4,0,1,19204.0,16540.0,19070.0,17887.333333333332,19945.833333333332,-1286.0,0.9329862015100234,Yasmin 220ml,AMDK,KARTON
2023,1,KI001,15917,211110200,211,01,2023-01-01,1,1,0,17918.0,19204.0,16540.0,17679.666666666668,18716.0,-2001.0,0.8882750153468385,Yasmin 220ml,AMDK,KARTON
2023,2,KI001,14777,196176000,196,02,2023-02-01,1,0,0,15917.0,17918.0,19204.0,16204.0,17237.666666666668,-1140.0,0.9283201407211962,Yasmin 220ml,AMDK,KARTON
2023,3,KI001,14068,186593000,201,03,2023-03-01,1,0,0,14777.0,15917.0,17918.0,14920.666666666666,16404.0,-709.0,0.9519556096900799,Yasmin 220ml,AMDK,KARTON
2023,4,KI001,15747,207329900,181,04,2023-04-01,2,0,0,14068.0,14777.0,15917.0,14864.0,16271.833333333334,1679.0,1.1192693155163835,Yasmin 220ml,AMDK,KARTON
2023,5,KI001,16642,219731100,233,05,2023-05-01,2,0,0,15747.0,14068.0,14777.0,15485.666666666666,15844.833333333334,895.0,1.0567691135382271,Yasmin 220ml,AMDK,KARTON
2023,6,KI001,12307,162954650,176,06,2023-06-01,2,0,0,16642.0,15747.0,14068.0,14898.666666666666,14909.666666666666,-4335.0,0.7394700474674037,Yasmin 220ml,AMDK,KARTON
2023,7,KI001,16056,209388850,172,07,2023-07-01,3,0,0,12307.0,16642.0,15747.0,15001.666666666666,14932.833333333334,3749.0,1.3045173870653233,Yasmin 220ml,AMDK,KARTON
2023,8,KI001,16639,219601300,191,08,2023-08-01,3,0,0,16056.0,12307.0,16642.0,15000.666666666666,15243.166666666666,583.0,1.0362458740736127,Yasmin 220ml,AMDK,KARTON
2023,9,KI001,13283,174160850,154,09,2023-09-01,3,0,0,16639.0,16056.0,12307.0,15326.0,15112.333333333334,-3356.0,0.7982572115384615,Yasmin 220ml,AMDK,KARTON
2023,10,KI001,16337,214949700,194,10,2023-10-01,4,0,0,13283.0,16639.0,16056.0,15419.666666666666,15210.666666666666,3054.0,1.2298253538090937,Yasmin 220ml,AMDK,KARTON
2023,11,KI001,15354,201975050,168,11,2023-11-01,4,0,0,16337.0,13283.0,16639.0,14991.333333333334,14996.0,-983.0,0.9397723099522586,Yasmin 220ml,AMDK,KARTON
2023,12,KI001,13225,173733950,174,12,2023-12-01,4,0,1,15354.0,16337.0,13283.0,14972.0,15149.0,-2129.0,0.8612829697167047,Yasmin 220ml,AMDK,KARTON
2024,1,KI001,12395,165308550,151,01,2024-01-01,1,1,0,13225.0,15354.0,16337.0,13658.0,14538.833333333334,-830.0,0.9371692121578709,Yasmin 220ml,AMDK,KARTON
2024,2,KI001,11344,151187700,155,02,2024-02-01,1,0,0,12395.0,13225.0,15354.0,12321.333333333334,13656.333333333334,-1051.0,0.91513391416586,Yasmin 220ml,AMDK,KARTON
2024,3,KI001,11320,151396150,146,03,2024-03-01,1,0,0,11344.0,12395.0,13225.0,11686.333333333334,13329.166666666666,-24.0,0.99779638607316,Yasmin 220ml,AMDK,KARTON
2024,4,KI001,12544,167133000,150,04,2024-04-01,2,0,0,11320.0,11344.0,12395.0,11736.0,12697.0,1224.0,1.1080293260312692,Yasmin 220ml,AMDK,KARTON
2024,5,KI001,13244,177213850,168,05,2024-05-01,2,0,0,12544.0,11320.0,11344.0,12369.333333333334,12345.333333333334,700.0,1.0557194101235552,Yasmin 220ml,AMDK,KARTON
2024,6,KI001,14603,195856800,172,06,2024-06-01,2,0,0,13244.0,12544.0,11320.0,13463.666666666666,12575.0,1359.0,1.1025292563231408,Yasmin 220ml,AMDK,KARTON
2024,7,KI001,13421,180094100,155,07,2024-07-01,3,0,0,14603.0,13244.0,12544.0,13756.0,12746.0,-1182.0,0.9189947959463161,Yasmin 220ml,AMDK,KARTON
2024,8,KI001,14157,189291600,174,08,2024-08-01,3,0,0,13421.0,14603.0,13244.0,14060.333333333334,13214.833333333334,736.0,1.0547608404112652,Yasmin 220ml,AMDK,KARTON
2024,9,KI001,11680,156507300,154,09,2024-09-01,3,0,0,14157.0,13421.0,14603.0,13086.0,13274.833333333334,-2477.0,0.8249752789942082,Yasmin 220ml,AMDK,KARTON
2024,10,KI001,13286,177308150,197,10,2024-10-01,4,0,0,11680.0,14157.0,13421.0,13041.0,13398.5,1606.0,1.1374026196387295,Yasmin 220ml,AMDK,KARTON
2024,11,KI001,12318,164036900,151,11,2024-11-01,4,0,0,13286.0,11680.0,14157.0,12428.0,13244.166666666666,-968.0,0.9270715737186724,Yasmin 220ml,AMDK,KARTON
